Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,False
Ford,Fiesta,1.0,Petrol,2002,127300,3074,Volkswagen
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,Volkswagen
Ford,Mondeo,1.6,Diesel,2014,39190,24072,Volkswagen
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,Volkswagen
Volkswagen,Polo,1.0,Petrol,2006,127869,4101,Volkswagen
Ford,Focus,1.4,Petrol,2018,33603,29204,Volkswagen
Ford,Mondeo,1.8,Diesel,2010,86686,14350,Volkswagen
Toyota,Prius,1.4,Hybrid,2015,30663,30297,Volkswagen
Volkswagen,Polo,1.2,Petrol,2012,73470,9977,Volkswagen
Ford,Focus,2.0,Diesel,1992,262514,1049,Volkswagen
Volkswagen,Golf,2.0,Diesel,2014,83047,17173,Volkswagen
BMW,Z4,2.0,Petrol,1990,293666,719,Volkswagen
Volkswagen,Golf,1.2,Diesel,2007,92697,7792,Volkswagen
Toyota,RAV4,2.2,Petrol,2007,79393,16026,Volkswagen
Toyota,Yaris,1.4,Petrol,1998,97286,4046,Volkswagen
Volkswagen,Golf,1.6,Diesel,1989,222390,933,Volkswagen
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,Volkswagen
Toyota,Yaris,1.2,Petrol,1992,245990,720,Volkswagen
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,Volkswagen
Volkswagen,Polo,1.2,Petrol,1998,155038,2118,Volkswagen
Volkswagen,Golf,1.2,Hybrid,1987,121744,1890,Volkswagen
Ford,Mondeo,1.6,Diesel,1996,77584,5667,Volkswagen
Toyota,Prius,1.0,Hybrid,2003,115291,6512,Volkswagen
Toyota,Prius,1.0,Hybrid,1990,238571,961,Volkswagen
Porsche,911,2.6,Petrol,2009,66273,41963,Volkswagen
Toyota,Prius,1.8,Hybrid,2017,31958,38961,Volkswagen
Porsche,911,3.5,Petrol,2005,151556,19747,Volkswagen
Toyota,Yaris,1.2,Petrol,2002,179097,2548,Volkswagen
Volkswagen,Golf,2.0,Petrol,2020,18985,36387,Volkswagen
Toyota,RAV4,1.8,Hybrid,2002,66990,13553,Volkswagen
Ford,Focus,1.0,Hybrid,2010,85131,12472,Volkswagen
Ford,Fiesta,1.0,Petrol,2001,144731,2503,Volkswagen
Volkswagen,Polo,2.0,Diesel,2008,97001,8784,Volkswagen
Volkswagen,Polo,1.6,Petrol,2016,52409,17257,Volkswagen
Ford,Fiesta,1.4,Petrol,2010,112714,6936,Volkswagen
Volkswagen,Passat,2.0,Diesel,1992,198540,1964,Volkswagen
Volkswagen,Passat,1.8,Diesel,1989,213162,1340,Volkswagen
BMW,Z4,2.2,Petrol,2005,133174,8511,Volkswagen
Volkswagen,Polo,1.6,Petrol,2008,129588,5848,Volkswagen
BMW,Z4,2.0,Petrol,1990,148586,2637,Volkswagen
Ford,Focus,2.0,Petrol,1995,91173,5181,Volkswagen
BMW,M5,4.0,Petrol,2017,22759,97758,Volkswagen
Volkswagen,Polo,1.4,Petrol,1990,261526,522,Volkswagen
Volkswagen,Passat,1.4,Diesel,1995,235594,1439,Volkswagen
BMW,Z4,2.0,Petrol,1995,42759,7873,Volkswagen
Volkswagen,Passat,1.8,Diesel,2005,103352,9633,Volkswagen
Volkswagen,Passat,1.6,Petrol,2003,63372,10001,Volkswagen
Toyota,Yaris,1.0,Petrol,2009,51787,9689,Volkswagen
Ford,Fiesta,1.4,Petrol,2014,41495,14721,Volkswagen
Toyota,Yaris,1.4,Petrol,2010,43111,12928,Volkswagen
Ford,Fiesta,1.0,Diesel,2017,38370,16257,Volkswagen
Toyota,RAV4,2.4,Petrol,2018,24588,49125,Volkswagen
Volkswagen,Polo,1.0,Diesel,2000,207339,1480,Volkswagen
Ford,Fiesta,1.0,Petrol,1990,182958,873,Volkswagen
Volkswagen,Passat,1.6,Diesel,1994,114647,4008,Volkswagen
Volkswagen,Polo,1.0,Petrol,1995,162993,1482,Volkswagen
Volkswagen,Golf,1.2,Petrol,2002,139884,3713,Volkswagen
Porsche,Cayenne,2.6,Diesel,2015,33693,54037,Volkswagen
BMW,Z4,2.2,Petrol,2004,126777,8373,Volkswagen
Ford,Fiesta,1.2,Petrol,2010,51553,9813,Volkswagen
Toyota,Yaris,1.0,Petrol,2010,75821,8851,Volkswagen
Volkswagen,Polo,1.4,Diesel,2010,45193,11881,Volkswagen
Volkswagen,Polo,1.6,Petrol,1997,87723,3840,Volkswagen
Ford,Focus,1.8,Petrol,1993,279656,863,Volkswagen
Volkswagen,Golf,2.0,Hybrid,2018,25017,36957,Volkswagen
Ford,Fiesta,1.2,Petrol,1996,111771,2543,Volkswagen
Toyota,Prius,1.4,Hybrid,2016,43893,29946,Volkswagen
Toyota,Yaris,1.0,Petrol,2007,118788,5306,Volkswagen
Toyota,Prius,1.4,Hybrid,2016,43130,30085,Volkswagen
Volkswagen,Passat,1.6,Diesel,1991,247911,1052,Volkswagen
Ford,Focus,2.0,Petrol,1991,272161,854,Volkswagen
Volkswagen,Passat,1.6,Diesel,1994,179361,2371,Volkswagen
Ford,Fiesta,1.0,Petrol,2009,66424,7616,Volkswagen
Ford,Mondeo,1.8,Diesel,1999,104544,6058,Volkswagen
Toyota,Yaris,1.0,Hybrid,1999,80589,4937,Volkswagen
Ford,Mondeo,1.4,Diesel,2000,128137,4771,Volkswagen
Porsche,718 Cayman,2.0,Petrol,1992,169078,3074,Volkswagen
Volkswagen,Passat,1.6,Petrol,2016,64344,23641,Volkswagen
Volkswagen,Passat,1.6,Diesel,1993,176456,2274,Volkswagen
Ford,Focus,1.4,Petrol,1985,179526,1105,Volkswagen
Toyota,RAV4,1.8,Hybrid,1999,162425,5396,Volkswagen
Porsche,718 Cayman,2.4,Petrol,2021,14070,69526,Volkswagen
BMW,Z4,2.4,Petrol,1993,226492,1799,Volkswagen
Ford,Fiesta,1.2,Petrol,1995,183332,1330,Volkswagen
Volkswagen,Golf,2.0,Petrol,1990,118673,2543,Volkswagen
Toyota,Prius,1.0,Hybrid,1993,333629,478,Volkswagen
Volkswagen,Passat,1.8,Diesel,1991,155034,2526,Volkswagen
Toyota,Yaris,1.2,Petrol,1990,200892,947,Volkswagen
Ford,Focus,1.8,Petrol,2020,22371,40336,Volkswagen
Ford,Mondeo,1.6,Diesel,2015,21834,28435,Volkswagen
Ford,Focus,1.0,Petrol,1985,223615,633,Volkswagen
Ford,Mondeo,1.6,Diesel,2007,100798,10008,Volkswagen
BMW,Z4,2.4,Petrol,1997,103758,6532,Volkswagen
Ford,Fiesta,1.2,Petrol,1997,156919,1901,Volkswagen
Toyota,Yaris,1.0,Petrol,2008,42621,9591,Volkswagen
Volkswagen,Passat,1.4,Diesel,2010,64359,15563,Volkswagen
Ford,Focus,2.0,Petrol,2002,180048,4086,Volkswagen
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,Volkswagen
Volkswagen,Passat,1.6,Diesel,2018,22122,36634,Volkswagen
BMW,M5,4.4,Petrol,1987,226046,2956,Volkswagen
Ford,Focus,1.4,Petrol,1987,236315,763,Volkswagen
BMW,M5,4.4,Petrol,2008,109941,31711,Volkswagen
Ford,Fiesta,1.0,Petrol,2009,61615,7859,Volkswagen
Ford,Focus,1.8,Diesel,1989,297635,585,Volkswagen
Toyota,Prius,1.8,Hybrid,1995,112413,5238,Volkswagen
Ford,Fiesta,1.2,Petrol,2008,96911,6318,Volkswagen
Volkswagen,Passat,1.6,Diesel,1990,223561,1229,Volkswagen
Volkswagen,Passat,1.4,Diesel,2020,21413,39310,Volkswagen
BMW,Z4,2.2,Petrol,2018,32319,40706,Volkswagen
Toyota,RAV4,2.4,Petrol,2021,6829,66031,Volkswagen
Volkswagen,Polo,1.6,Petrol,2010,108111,7878,Volkswagen
Ford,Mondeo,1.6,Diesel,1998,137896,4132,Volkswagen
Ford,Focus,1.6,Petrol,2013,66163,18269,Volkswagen
Volkswagen,Passat,1.6,Diesel,2010,66410,16414,Volkswagen
BMW,Z4,2.2,Petrol,2014,61332,26084,Volkswagen
Toyota,RAV4,2.4,Petrol,2016,34379,40646,Volkswagen
Porsche,911,3.5,Petrol,2003,107705,24378,Volkswagen
Volkswagen,Golf,1.8,Diesel,2014,28530,23034,Volkswagen
Volkswagen,Passat,1.6,Diesel,2015,57933,24207,Volkswagen
BMW,Z4,2.4,Petrol,1997,146910,4671,Volkswagen
Toyota,Prius,1.4,Hybrid,2001,152067,5040,Volkswagen
BMW,M5,4.0,Petrol,2003,123913,19474,Volkswagen
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,Volkswagen
Volkswagen,Golf,1.2,Diesel,2008,97150,8066,Volkswagen
Ford,Focus,2.0,Petrol,2010,86405,14567,Volkswagen
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,Volkswagen
Volkswagen,Golf,2.0,Diesel,2015,50628,22743,Volkswagen
BMW,Z4,3.0,Petrol,2014,80934,26708,Volkswagen
Volkswagen,Polo,1.0,Petrol,1998,97043,3036,Volkswagen
Toyota,Yaris,1.0,Petrol,2001,58770,5438,Volkswagen
Volkswagen,Passat,1.8,Petrol,2008,84855,12800,Volkswagen
Volkswagen,Passat,1.6,Diesel,2014,50898,23677,Volkswagen
Ford,Focus,1.6,Diesel,1998,152532,3704,Volkswagen
